,Number,Name,Type1,Type2,HP,Attack,Defense,Sp.Atk,Sp.Def,Speed
0,#001,Bulbasaur,Grass,Poison,45,49,49,65,65,45
1,#002,Ivysaur,Grass,Poison,60,62,63,80,80,60
2,#003,Venusaur,Grass,Poison,80,82,83,100,100,80
3,#004,Charmander,Fire,,39,52,43,60,50,65
4,#005,Charmeleon,Fire,,58,64,58,80,65,80
5,#006,Charizard,Fire,Flying,78,84,78,109,85,100
6,#007,Squirtle,Water,,44,48,65,50,64,43
7,#008,Wartortle,Water,,59,63,80,65,80,58
8,#009,Blastoise,Water,,79,83,100,85,105,78
9,#010,Caterpie,Bug,,45,30,35,20,20,45
10,#011,Metapod,Bug,,50,20,55,25,25,30
11,#012,Butterfree,Bug,Flying,60,45,50,80,80,70
12,#013,Weedle,Bug,Poison,40,35,30,20,20,50
13,#014,Kakuna,Bug,Poison,45,25,50,25,25,35
14,#015,Beedrill,Bug,Poison,65,80,40,45,80,75
15,#016,Pidgey,Normal,Flying,40,45,40,35,35,56
16,#017,Pidgeotto,Normal,Flying,63,60,55,50,50,71
17,#018,Pidgeot,Normal,Flying,83,80,75,70,70,91
18,#019,Rattata,Normal,,30,56,35,25,35,72
19,#020,Raticate,Normal,,55,81,60,50,70,97
20,#021,Spearow,Normal,Flying,40,60,30,31,31,70
21,#022,Fearow,Normal,Flying,65,90,65,61,61,100
22,#023,Ekans,Poison,,35,60,44,40,54,55
23,#024,Arbok,Poison,,60,85,69,65,79,80
24,#025,Pikachu,Electric,,35,55,30,50,40,90
25,#026,Raichu,Electric,,60,90,55,90,80,100
26,#027,Sandshrew,Ground,,50,75,85,20,30,40
27,#028,Sandslash,Ground,,75,100,110,45,55,65
28,#029,Nidoran♀,Poison,,55,47,52,40,40,41
29,#030,Nidorina,Poison,,70,62,67,55,55,56
30,#031,Nidoqueen,Poison,Ground,90,82,87,75,85,76
31,#032,Nidoran♂,Poison,,46,57,40,40,40,50
32,#033,Nidorino,Poison,,61,72,57,55,55,65
33,#034,Nidoking,Poison,Ground,81,92,77,85,75,85
34,#035,Clefairy,Normal,,70,45,48,60,65,35
35,#036,Clefable,Normal,,95,70,73,85,90,60
36,#037,Vulpix,Fire,,38,41,40,50,65,65
37,#038,Ninetales,Fire,,73,76,75,81,100,100
38,#039,Jigglypuff,Normal,,115,45,20,45,25,20
39,#040,Wigglytuff,Normal,,140,70,45,75,50,45
40,#041,Zubat,Poison,Flying,40,45,35,30,40,55
41,#042,Golbat,Poison,Flying,75,80,70,65,75,90
42,#043,Oddish,Grass,Poison,45,50,55,75,65,30
43,#044,Gloom,Grass,Poison,60,65,70,85,75,40
44,#045,Vileplume,Grass,Poison,75,80,85,100,90,50
45,#046,Paras,Bug,Grass,35,70,55,45,55,25
46,#047,Parasect,Bug,Grass,60,95,80,60,80,30
47,#048,Venonat,Bug,Poison,60,55,50,40,55,45
48,#049,Venomoth,Bug,Poison,70,65,60,90,75,90
49,#050,Diglett,Ground,,10,55,25,35,45,95
50,#051,Dugtrio,Ground,,35,80,50,50,70,120
